K1,K3,C11,C12,C44,direzione,q_x,q_y,q_z,e1,e2,e3,L_coeff1,L_coeff2,L_coeff3,cmp_T_L
0.15,0,1.59997,-0.299995,0.299995,110,0.707107,0.707107,0,0.299995,0.949982,0.949982,0,0.707107,0.707107,m
0.15,0,1.59997,-0.299995,0.299995,111,0.57735,0.57735,0.57735,0.73332,0.73332,0.73332,0.57735,0.57735,0.57735,=
0.15,0.05,1.99996,-0.499991,0.899984,100,1,0,0,0.899984,0.899984,1.99996,0,0,1,n
0.15,0.05,1.99996,-0.499991,0.899984,110,0.707107,0.707107,0,0.899984,1.24998,1.64997,0,0,1,n
0.15,0.05,1.99996,-0.499991,0.899984,111,0.57735,0.57735,0.57735,1.13331,1.13331,1.5333,-2.22045e-16,-4.16334e-16,1,n
0.15,0.1,2.39996,-0.699988,1.49997,100,1,0,0,1.49997,1.49997,2.39996,0,0,1,n
0.15,0.1,2.39996,-0.699988,1.49997,110,0.707107,0.707107,0,1.49997,1.54997,2.34996,0,0,1,n
0.15,0.1,2.39996,-0.699988,1.49997,111,0.57735,0.57735,0.57735,1.53331,1.53331,2.33329,5.55112e-17,5.55112e-17,1,n
0.15,0.15,2.79995,-0.899984,2.09996,100,1,0,0,2.09996,2.09996,2.79995,0,0,1,n
0.15,0.15,2.79995,-0.899984,2.09996,110,0.707107,0.707107,0,1.84997,2.09996,3.04994,0,0,1,n
0.15,0.15,2.79995,-0.899984,2.09996,111,0.57735,0.57735,0.57735,1.9333,1.9333,3.13327,3.88578e-16,5.55112e-17,1,n
0.15,0.2,3.19994,-1.09998,2.69995,100,1,0,0,2.69995,2.69995,3.19994,0,0,1,n
0.15,0.2,3.19994,-1.09998,2.69995,110,0.707107,0.707107,0,2.14996,2.69995,3.74993,0,0,1,n
0.15,0.2,3.19994,-1.09998,2.69995,111,0.57735,0.57735,0.57735,2.33329,2.33329,3.93326,2.77556e-17,-7.21645e-16,1,n
0.15,0.25,3.59994,-1.29998,3.29994,100,1,0,0,3.29994,3.29994,3.59994,0,0,1,n
0.15,0.25,3.59994,-1.29998,3.29994,110,0.707107,0.707107,0,2.44996,3.29994,4.44992,0,0,1,n
0.15,0.25,3.59994,-1.29998,3.29994,111,0.57735,0.57735,0.57735,2.73329,2.73329,4.73325,-5.55112e-17,2.77556e-17,1,n
0.15,0.3,3.99993,-1.49997,3.89993,100,1,0,0,3.89993,3.89993,3.99993,0,0,1,n
0.15,0.3,3.99993,-1.49997,3.89993,110,0.707107,0.707107,0,2.74995,3.89993,5.14991,0,0,1,n
0.15,0.3,3.99993,-1.49997,3.89993,111,0.57735,0.57735,0.57735,3.13328,3.13328,5.53324,-5.55112e-17,5.55112e-17,1,n
0.15,0.35,4.39992,-1.69997,4.49992,100,1,0,0,4.39992,4.49992,4.49992,1,0,0,y
